curso,carpeta,subcarpeta,enunciado,lenguaje,detalles_implementacion
A2017,Z1,Z4,"Solicitar al usuario el número de filas, el número de columnas y la anchura de cada columna, para luego imprimir en pantalla una cuadrícula o tabla formada por caracteres ASCII ('+', '-', '",') con las dimensiones especificadas.,
A2017,Z1,Z3,"Escribir un programa que solicite los coeficientes a, b y c de una ecuación cuadrática, calcule sus raíces reales y luego permita al usuario intentar adivinar los valores de las raíces mediante un sistema de retroalimentación (indicando si el valor ingresado es ""Tacno"" -correcto-, ""Vece"" -mayor-, ""Manje"" -menor- o ""Priblizno"" -cercano-).",C,
A2017,Z1,Z2,"Dados los tres puntos que definen un triángulo en un plano cartesiano (coordenadas x, y), calcular la longitud de sus lados, clasificar el triángulo (equilátero, isósceles, escaleno o rectángulo) y determinar el valor del ángulo mayor expresado en grados, minutos y segundos.",C,
A2017,Z4,Z1,"Escribir una función que inserte un número entero dado en cada espacio en blanco (o secuencia de espacios) de una cadena de caracteres, manteniendo la estructura original del texto.",C,
A2017,Z4,Z4,"Escribir una función que verifique si una cadena de texto dada representa un código HTML válido, validando que las etiquetas estén correctamente abiertas, cerradas y anidadas (balanceo de tags).",C,
A2017,Z4,Z3,"Escribir una función que reciba una cadena de texto y encuentre la subcadena más larga dentro de cada palabra (secuencia de caracteres alfabéticos) que no contenga caracteres repetidos, almacenando el resultado en un búfer proporcionado.",C,
A2017,Z4,Z2,"Escribir una función que reciba una cadena de texto y un arreglo de enteros, y verifique si la longitud de cada palabra en la cadena coincide exactamente con los valores correspondientes en el arreglo.",C,
A2017,Z3,Z1,Escribir una función que reciba tres arreglos de números enteros y devuelva cuántos elementos distintos aparecen en exactamente dos de los tres arreglos.,C,
A2017,Z3,Z4,"Escribir un programa que lea una matriz de enteros y, de forma iterativa, encuentre el elemento que más veces aparece en la matriz (en caso de empate, el menor valor) y elimine todas las columnas que contengan dicho elemento, imprimiendo la matriz resultante tras cada eliminación hasta que esta quede vacía.",C,
A2017,Z3,Z3,"Escribir una función que reciba un arreglo de números enteros y un arreglo de dígitos (0-9), y que elimine de cada número del primer arreglo todas las apariciones de los dígitos especificados en el segundo arreglo.",C,
A2017,Z3,Z2,"Escribir una función que redondee los elementos de un arreglo de tipo float a un decimal y luego reordene el arreglo desplazando al final de este todos aquellos elementos cuya suma de dígitos (de su parte decimal o tras multiplicar por 10) sea menor a un valor entero dado ""k"".",C,
A2017,Z5,Z1,Definir estructuras para representar a un empleado (nombre y fecha de nacimiento) y funciones para calcular la diferencia de días entre dos fechas (considerando años bisiestos) y comparar los apellidos de dos empleados.,C,
A2017,Z5,Z4,"Escribir un programa que cargue datos de tiendas desde un archivo de texto (`prodavnice.txt`) y artículos desde un archivo binario (`artikli.bin`). Luego, implementar una función que elimine de la lista de tiendas aquellas cuyo promedio de precios de sus artículos sea estrictamente mayor al promedio de precios de todos los artículos de todas las tiendas, y guardar el resultado en un nuevo archivo binario.",C,
A2017,Z5,Z3,"Crear un programa que gestione una base de datos binaria de objetos geométricos (nombre, número de lados y longitud de cada lado) almacenados en un archivo ""oblici.dat"", permitiendo eliminar duplicados según su nombre y encontrar el objeto con el perímetro máximo; y un programa para manipular un arreglo de números reales (máximo 100) insertando el promedio entre elementos adyacentes si el segundo es el doble del primero, y contabilizando la frecuencia de aparición de la primera cifra decimal de cada número.",C,
A2017,Z5,Z2,"Definir estructuras para representar formas geométricas (punto, triángulo, circunferencia, rectángulo) e implementar funciones para determinar si un punto pertenece a una figura o si existe intersección entre ellas.",C,
A2017,Z2,Z1,Escribir un programa que solicite un número entero N (que debe ser múltiplo de 4 y mayor o igual a 8) y dibuje una figura geométrica compuesta por caracteres ASCII (como una X centrada dentro de un marco o una estructura de celdas divididas) basada en dicho valor.,C,
A2017,Z2,Z4,"Escribir un programa que solicite las dimensiones (M x N) de tres matrices (A, B y C) y verifique si las matrices B y C son permutaciones de los elementos de la matriz A (es decir, si contienen exactamente los mismos elementos con la misma frecuencia). El programa debe imprimir ""DA"" si es así y ""NE"" en caso contrario.",C,
A2017,Z2,Z3,"Escribir un programa que solicite al usuario dos matrices (A y B) con sus respectivas dimensiones, y determine si la matriz B es el resultado de rotar la matriz A 90 grados en sentido horario. Si lo es, imprimir ""DA"", en caso contrario imprimir ""NE"".",C,
A2017,Z2,Z2,"Escribir un programa que lea un arreglo de números enteros positivos, descomponga cada número en sus dígitos individuales y, posteriormente, comprima o resuma la secuencia resultante de dígitos mostrando cada dígito seguido de cuántas veces aparece de forma consecutiva (codificación RLE - Run-Length Encoding).",C,
